StockCode,Alpha,Beta,SharpeRatio,Volatility,Return,Year,RiskScore
szse.000001,0.00098924447215,0.8921119398726508,0.0964352543962242,0.0208186630017283,0.575611113177206,2014,0.583704247467628
szse.000002,0.0015687243105513,0.9396996464130332,0.1180586525187618,0.0225571843641801,0.8352856977092435,2014,0.7176345094534502
szse.000009,0.0019812720859929,1.1229818922191204,0.1055454418870562,0.0291018122524545,0.65806283828812,2014,0.678383118834068
szse.000012,-0.00052008579826,0.9447915246853016,0.0345479093176986,0.0170783789690208,0.1359332613256089,2014,0.21902879915868442
szse.000024,0.0016263941878992,1.2877977860949936,0.1069658645806611,0.0294975986709484,0.9824414845130376,2014,0.684973774154586
szse.000039,0.0003263679721332,1.1576571894828898,0.071748173772169,0.0235931951940677,0.4399515835137736,2014,0.45187920885140964
szse.000046,0.0024922552904737,1.03690288111663,0.13877147417402,0.0272545431751181,1.2883007313036128,2014,0.8612719492263107
szse.000060,0.0008946275857007,1.0924612754684908,0.0989531359910679,0.0241141141313524,0.679567672767061,2014,0.6062778343966302
szse.000061,0.001129361838061,0.8046704189074768,0.0853220403183422,0.0252707170296703,0.5847338649067606,2014,0.5229801709244728
szse.000063,0.0001035222633061,0.9532636238858324,0.0633477949043211,0.0191766623877491,0.31168559905075,2014,0.3881729767917164
szse.000069,0.0010800560768742,0.8370534984243216,0.0969112299646327,0.0211149917191111,0.5912680185333593,2014,0.5851477426082071
szse.000100,0.0018881048226734,0.7262766680615925,0.1192838164495638,0.0209099133953794,0.6755809203144834,2014,0.7203881874489362
szse.000156,-0.0003072891280212,0.8329604393830049,0.0351668289836995,0.0296825297208212,0.154562383612663,2014,0.21477474253859122
szse.000157,0.0002551984184383,0.9390579912710948,0.0732057758172204,0.0180300528110984,0.3516353957970389,2014,0.44359633760659956
szse.000333,0.0008926587958684,0.7916852817252663,0.0871063554756841,0.0200279659457609,0.4646296320523307,2014,0.5255070639609297
szse.000338,0.0005486793297238,0.9662129836122394,0.0942153200509479,0.01779115641346,0.4746594598204945,2014,0.5637244986804688
szse.000400,-0.0010715997967293,0.9576109443419782,0.0020798997934446,0.0216854358235442,-0.0260988158598825,2014,0.03167581245218927
szse.000401,0.0009925384664355,0.8340419584135822,0.0846510592425687,0.023094846377326,0.5394394404251454,2014,0.5180008274771435
szse.000402,0.0032224663008587,0.789822718990986,0.1518935979060899,0.0268141290418048,1.49397398083305,2014,0.9364336966739119
szse.000423,-0.0009165167428259,0.656006356210277,-0.0110246296614018,0.0159892646572202,-0.0534223647281531,2014,-0.049127679234171134
szse.000425,0.0017528978719763,1.0876346339141032,0.1332363406498701,0.0227557776260548,1.0066676875363934,2014,0.8127212699127241
szse.000528,0.0019071785466059,1.0664112587791683,0.13751350112551,0.022977280116705,1.06731969735263,2014,0.8384264395867069
szse.000536,-0.0034075687324875,0.8097078901777578,-0.0759231622414711,0.0320424594200887,-0.3858420847919098,2014,-0.46735297731383674
szse.000538,-0.0010538668616882,0.6891506016351364,-0.0147246656302187,0.0184897408945357,-0.0843813825739421,2014,-0.07184840341058289
szse.000562,0.0122563836766929,0.9979304260106524,0.4060373260163303,0.0368216645180209,2.4154535274356106,2014,2.5694590285238625
szse.000568,-0.0005972965687266,0.9175140060072128,0.0239587500834201,0.0195902471108985,0.0913148964462725,2014,0.15872099623700892
szse.000581,-0.0013402968893592,0.8399635651237031,-0.0189544923197111,0.019543694535884,-0.1110994438242826,2014,-0.09311896756425111
szse.000596,0.0010633858863396,1.1706238330574996,0.0884485051790139,0.0276541872500386,0.6876628851273477,2014,0.5624331630451332
szse.000598,0.0002480673392107,0.927110092873306,0.0608059264740649,0.0218185896996588,0.3304333525261051,2014,0.37697480690656604
szse.000623,0.0014937163797212,1.2705097558516292,0.1286983525585582,0.0233179321144965,0.9841987448828168,2014,0.7934816904912699
szse.000625,0.000537641818122,0.9288222354553488,0.0728061905811985,0.0228891534343065,0.434710847305629,2014,0.448274856654414
